Matrix,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Latvia,11.348,15.555,13.607,13.033,12.406,12.765,11.647,11.069,10.238,8.135
Estonia,14.126,14.129,10.898,9.115,7.932,10.447,6.943,6.544,7.741,9.554
Spain,10.06,10.757,10.331,10.151,9.168,8.818,8.823,7.466,6.603,5.146
Iceland,2.489,9.303,4.026,9.261,8.381,9.333,6.029,5.333,4.566,8.03
Brazil,6.541,5.73,6.651,7.065,6.643,6.977,6.709,7.247,6.842,1.8718
South Africa,6.165,8.23,6.021,4.676,3.796,2.386,5.016,4.235,5.409,7.0
France,6.813,6.818,5.466,5.992,6.39,6.07,4.426,3.958,3.592,3.091
Ecuador,4.463,2.389,2.453,3.821,4.1,3.276,5.552,5.341,4.646,7.04
Korea Rep.,7.22,2.818,2.196,4.158,2.67,2.86,6.348,5.135,4.695,4.615
Costa Rica,5.185,6.495,5.973,5.373,1.975,4.746,4.69,3.479,1.146,0.589